date,shelter_city,sector,total_occupancy,total_capacity
2017-01-05,Toronto,men,1386,1338
2017-01-05,Toronto,youth,881,2276
2017-01-05,Toronto,co-ed,1938,967
2017-01-05,Toronto,family,2061,1855
2017-01-05,North York,women,1663,1300
2017-01-05,North York,men,2343,2357
2017-01-05,North York,youth,1959,1878
2017-01-05,North York,co-ed,1800,2227
2017-01-05,North York,family,1643,2008
2017-01-05,Scarborough,women,1321,2993
2017-01-05,Scarborough,men,1735,2125
2017-01-05,Scarborough,youth,1239,2726
2017-01-05,Scarborough,co-ed,1563,2320
2017-01-05,Scarborough,family,1889,2287
2017-01-05,Etobicoke,women,448,1814
2017-01-05,Etobicoke,men,1199,1606
2017-01-05,Etobicoke,youth,1377,1933
2017-01-05,Etobicoke,co-ed,1499,1092
2017-01-05,Etobicoke,family,878,2060
2017-01-06,Toronto,women,1616,1310
2017-01-06,Toronto,men,1611,1884
2017-01-06,Toronto,youth,1197,1402
2017-01-06,Toronto,co-ed,2056,1662
2017-01-06,Toronto,family,959,1154
2017-01-06,North York,women,1262,613
2017-01-06,North York,men,1950,1622
2017-01-06,North York,youth,2498,2570
2017-01-06,North York,co-ed,2134,613
2017-01-06,North York,family,1205,1522
2017-01-06,Scarborough,women,754,1995
2017-01-06,Scarborough,men,1445,1716
2017-01-06,Scarborough,youth,2422,828
2017-01-06,Scarborough,co-ed,1475,1230
2017-01-06,Scarborough,family,2209,1848
2017-01-06,Etobicoke,women,1536,2476
2017-01-06,Etobicoke,men,2215,1962
2017-01-06,Etobicoke,youth,2310,1322
2017-01-06,Etobicoke,co-ed,1235,1259
2017-01-06,Etobicoke,family,2528,2101
2017-01-07,Toronto,women,2157,1232
2017-01-07,Toronto,men,1953,2049
2017-01-07,Toronto,youth,1531,1603
2017-01-07,Toronto,co-ed,2185,2224
2017-01-07,Toronto,family,1301,1000
2017-01-07,North York,women,382,1210
2017-01-07,North York,men,1981,1832
2017-01-07,North York,youth,2003,1645
2017-01-07,North York,co-ed,1321,329
2017-01-07,North York,family,1053,1514
2017-01-07,Scarborough,women,1036,2313
2017-01-07,Scarborough,men,1483,1938
2017-01-07,Scarborough,youth,2041,1999
2017-01-07,Scarborough,co-ed,1250,982
2017-01-07,Scarborough,family,1677,1721
2017-01-07,Etobicoke,women,2512,2297
2017-01-07,Etobicoke,men,1281,1398
2017-01-07,Etobicoke,youth,806,1721
2017-01-07,Etobicoke,co-ed,924,1625
2017-01-07,Etobicoke,family,1189,1623
2017-01-08,Toronto,women,1860,1412
2017-01-08,Toronto,men,1162,2725
2017-01-08,Toronto,youth,914,2350
2017-01-08,Toronto,co-ed,956,1907
2017-01-08,Toronto,family,1765,1846
2017-01-08,North York,women,650,1163
2017-01-08,North York,men,2027,1673
2017-01-08,North York,youth,1564,1691
2017-01-08,North York,co-ed,1906,1552
2017-01-08,North York,family,1574,2002
2017-01-08,Scarborough,women,1861,2208
2017-01-08,Scarborough,men,242,2061
2017-01-08,Scarborough,youth,1543,2392
2017-01-08,Scarborough,co-ed,919,923
2017-01-08,Scarborough,family,1063,1827
2017-01-08,Etobicoke,women,1984,1120
2017-01-08,Etobicoke,men,1405,2016
2017-01-08,Etobicoke,youth,1365,1230
2017-01-08,Etobicoke,co-ed,1836,2015
2017-01-08,Etobicoke,family,2129,2106
2017-01-09,Toronto,women,1864,1273
2017-01-09,Toronto,men,1507,1618
2017-01-09,Toronto,youth,2236,2367
2017-01-09,Toronto,co-ed,1157,1621
2017-01-09,Toronto,family,1824,1915
2017-01-09,North York,women,2715,674
2017-01-09,North York,men,1929,1697
2017-01-09,North York,youth,1401,1907
2017-01-09,North York,co-ed,1422,1871
2017-01-09,North York,family,597,2314
2017-01-09,Scarborough,women,1125,1762
2017-01-09,Scarborough,men,1449,1888
2017-01-09,Scarborough,youth,1135,2156
2017-01-09,Scarborough,co-ed,732,1662
2017-01-09,Scarborough,family,787,2019
2017-01-09,Etobicoke,women,736,1039
2017-01-09,Etobicoke,men,1762,2637
2017-01-09,Etobicoke,youth,1261,2679
2017-01-09,Etobicoke,co-ed,1756,2009
2017-01-09,Etobicoke,family,1680,2080
2017-01-10,Toronto,women,2035,2420
2017-01-10,Toronto,men,1752,2255
2017-01-10,Toronto,youth,1686,1265
2017-01-10,Toronto,co-ed,1564,2027
2017-01-10,Toronto,family,1636,2463
2017-01-10,North York,women,1882,1735
2017-01-10,North York,men,2508,1529
2017-01-10,North York,youth,2473,953
2017-01-10,North York,co-ed,1791,1394
2017-01-10,North York,family,1932,2313
2017-01-10,Scarborough,women,2004,1377
2017-01-10,Scarborough,men,1754,1413
2017-01-10,Scarborough,youth,1049,1285
2017-01-10,Scarborough,co-ed,1202,1647
2017-01-10,Scarborough,family,2906,944
2017-01-10,Etobicoke,women,1999,1913
2017-01-10,Etobicoke,men,1231,1151
2017-01-10,Etobicoke,youth,1290,1642
2017-01-10,Etobicoke,co-ed,1409,1367
2017-01-10,Etobicoke,family,2230,531
2017-01-11,Toronto,women,1478,1810
2017-01-11,Toronto,men,1691,1989
2017-01-11,Toronto,youth,1106,1031
2017-01-11,Toronto,co-ed,1217,2888
2017-01-11,Toronto,family,1098,1167
2017-01-11,North York,women,1679,2080
2017-01-11,North York,men,1269,1333
2017-01-11,North York,youth,2485,2095
2017-01-11,North York,co-ed,918,2563
2017-01-11,North York,family,1958,2178
2017-01-11,Scarborough,women,1796,1247
2017-01-11,Scarborough,men,1166,1676
2017-01-11,Scarborough,youth,1515,1224
2017-01-11,Scarborough,co-ed,2046,1264
2017-01-11,Scarborough,family,1507,3001
2017-01-11,Etobicoke,women,1134,2235
2017-01-11,Etobicoke,men,1281,2059
2017-01-11,Etobicoke,youth,813,1297
2017-01-11,Etobicoke,co-ed,1992,1497
2017-01-11,Etobicoke,family,1094,2436
2017-01-12,Toronto,women,1194,625
2017-01-12,Toronto,men,1298,1508
2017-01-12,Toronto,youth,1558,2562
2017-01-12,Toronto,co-ed,2254,1157
2017-01-12,Toronto,family,2199,2634
2017-01-12,North York,women,1382,1791
2017-01-12,North York,men,1584,2423
2017-01-12,North York,youth,686,2102
2017-01-12,North York,co-ed,2046,834
2017-01-12,North York,family,1737,1722
2017-01-12,Scarborough,women,1330,1630
2017-01-12,Scarborough,men,2221,1349
2017-01-12,Scarborough,youth,1055,2427
2017-01-12,Scarborough,co-ed,723,1696
2017-01-12,Scarborough,family,1617,839
2017-01-12,Etobicoke,women,1996,1640
2017-01-12,Etobicoke,men,1417,1889
2017-01-12,Etobicoke,youth,1356,662
2017-01-12,Etobicoke,co-ed,947,2411
2017-01-12,Etobicoke,family,1154,1045
2017-01-13,Toronto,women,1688,1256
2017-01-13,Toronto,men,2018,1818
2017-01-13,Toronto,youth,1906,1844
2017-01-13,Toronto,co-ed,1917,1435
2017-01-13,Toronto,family,1492,2019
2017-01-13,North York,women,781,1849
2017-01-13,North York,men,1197,2092
2017-01-13,North York,youth,1210,1647
2017-01-13,North York,co-ed,1290,1850
2017-01-13,North York,family,2096,1817
2017-01-13,Scarborough,women,757,2186
2017-01-13,Scarborough,men,1523,964
2017-01-13,Scarborough,youth,985,1537
2017-01-13,Scarborough,co-ed,1560,1968
2017-01-13,Scarborough,family,1698,1567
2017-01-13,Etobicoke,women,1998,575
2017-01-13,Etobicoke,men,1118,2320
2017-01-13,Etobicoke,youth,1922,1331
2017-01-13,Etobicoke,co-ed,279,1563
2017-01-13,Etobicoke,family,369,1875
2017-01-14,Toronto,women,1198,2125
2017-01-14,Toronto,men,1463,1588
2017-01-14,Toronto,youth,1104,1636
2017-01-14,Toronto,co-ed,1124,1694
2017-01-14,Toronto,family,2003,2012
2017-01-14,North York,women,1627,2956
2017-01-14,North York,men,2075,1079
2017-01-14,North York,youth,2198,1399
2017-01-14,North York,co-ed,1789,1436
2017-01-14,North York,family,2256,2019
2017-01-14,Scarborough,women,1903,2109
2017-01-14,Scarborough,men,2225,1547
2017-01-14,Scarborough,youth,744,2474
2017-01-14,Scarborough,co-ed,1841,2269
2017-01-14,Scarborough,family,1271,1997
2017-01-14,Etobicoke,women,2670,1885
2017-01-14,Etobicoke,men,1312,1301
2017-01-14,Etobicoke,youth,2024,1965
2017-01-14,Etobicoke,co-ed,1780,1846
2017-01-14,Etobicoke,family,1451,1102
2017-01-15,Toronto,women,1229,1966
2017-01-15,Toronto,men,1153,1196
2017-01-15,Toronto,youth,1526,1623
2017-01-15,Toronto,co-ed,1726,1449
2017-01-15,Toronto,family,1238,2430
2017-01-15,North York,women,1319,543
2017-01-15,North York,men,1663,2201
2017-01-15,North York,youth,1614,1613
2017-01-15,North York,co-ed,2059,2540
2017-01-15,North York,family,1138,2099
2017-01-15,Scarborough,women,2319,1655
2017-01-15,Scarborough,men,2021,916
2017-01-15,Scarborough,youth,1667,1530
2017-01-15,Scarborough,co-ed,1110,2533
2017-01-15,Scarborough,family,1752,1938
2017-01-15,Etobicoke,women,1701,1833
2017-01-15,Etobicoke,men,2524,2318
2017-01-15,Etobicoke,youth,1911,2179
2017-01-15,Etobicoke,co-ed,1611,1713
2017-01-15,Etobicoke,family,567,1920
2017-01-16,Toronto,women,956,1956
2017-01-16,Toronto,men,2021,1643
2017-01-16,Toronto,youth,923,1738
2017-01-16,Toronto,co-ed,2384,2526
2017-01-16,Toronto,family,1666,1973
2017-01-16,North York,women,923,2581
2017-01-16,North York,men,1659,1390
2017-01-16,North York,youth,1853,2229
2017-01-16,North York,co-ed,1702,990
2017-01-16,North York,family,2696,2559
2017-01-16,Scarborough,women,1466,1814
2017-01-16,Scarborough,men,1205,1765
2017-01-16,Scarborough,youth,2127,1049
2017-01-16,Scarborough,co-ed,1006,2265
2017-01-16,Scarborough,family,1235,1528
2017-01-16,Etobicoke,women,2002,1029
2017-01-16,Etobicoke,men,1481,2291
2017-01-16,Etobicoke,youth,1760,1487
2017-01-16,Etobicoke,co-ed,1442,2257
2017-01-16,Etobicoke,family,1468,1932
2017-01-17,Toronto,women,1585,1657
2017-01-17,Toronto,men,1164,1829
2017-01-17,Toronto,youth,1165,1603
2017-01-17,Toronto,co-ed,2061,1556
2017-01-17,Toronto,family,658,1479
2017-01-17,North York,women,1378,1240
2017-01-17,North York,men,1418,1764
2017-01-17,North York,youth,1111,1673
2017-01-17,North York,co-ed,2036,589
2017-01-17,North York,family,1760,2079
2017-01-17,Scarborough,women,1469,1289
2017-01-17,Scarborough,men,1239,1022
2017-01-17,Scarborough,youth,1906,1885
2017-01-17,Scarborough,co-ed,2347,2413
2017-01-17,Scarborough,family,1949,1953
2017-01-17,Etobicoke,women,1800,519
2017-01-17,Etobicoke,men,2266,2083
2017-01-17,Etobicoke,youth,928,1430
2017-01-17,Etobicoke,co-ed,1382,1479
2017-01-17,Etobicoke,family,1384,1805
2017-01-18,Toronto,women,1390,1271
2017-01-18,Toronto,men,2322,1439
2017-01-18,Toronto,youth,2841,1750
2017-01-18,Toronto,co-ed,1748,1887
2017-01-18,Toronto,family,1390,1768
2017-01-18,North York,women,1872,1172
2017-01-18,North York,men,1506,1886
2017-01-18,North York,youth,1536,2926
2017-01-18,North York,co-ed,730,1733
2017-01-18,North York,family,2272,2298
2017-01-18,Scarborough,women,2084,1291
2017-01-18,Scarborough,men,2029,2124
2017-01-18,Scarborough,youth,1519,1611
2017-01-18,Scarborough,co-ed,1370,1227
2017-01-18,Scarborough,family,1774,2125
2017-01-18,Etobicoke,women,1850,1382
2017-01-18,Etobicoke,men,1507,1771
2017-01-18,Etobicoke,youth,1637,1385
2017-01-18,Etobicoke,co-ed,1366,2105
2017-01-18,Etobicoke,family,1914,1876
2017-01-19,Toronto,women,1684,1268
2017-01-19,Toronto,men,1788,1610
2017-01-19,Toronto,youth,1622,1470
2017-01-19,Toronto,co-ed,1135,1389
2017-01-19,Toronto,family,2381,1809
2017-01-19,North York,women,333,1817
2017-01-19,North York,men,803,1199
2017-01-19,North York,youth,2307,2738
2017-01-19,North York,co-ed,2150,1538
2017-01-19,North York,family,1403,2093
2017-01-19,Scarborough,women,1833,1547
2017-01-19,Scarborough,men,2125,402
2017-01-19,Scarborough,youth,1601,1995
2017-01-19,Scarborough,co-ed,2133,1631
2017-01-19,Scarborough,family,404,865
2017-01-19,Etobicoke,women,2259,1848
2017-01-19,Etobicoke,men,1893,2208
2017-01-19,Etobicoke,youth,501,2141
2017-01-19,Etobicoke,co-ed,869,1376
2017-01-19,Etobicoke,family,658,1752
2017-01-20,Toronto,women,1562,2181
2017-01-20,Toronto,men,1047,1919
2017-01-20,Toronto,youth,1686,1775
2017-01-20,Toronto,co-ed,2207,1810
2017-01-20,Toronto,family,1750,1657
2017-01-20,North York,women,2409,1262
2017-01-20,North York,men,1603,1569
2017-01-20,North York,youth,2068,2047
2017-01-20,North York,co-ed,2336,1213
2017-01-20,North York,family,1721,2502
2017-01-20,Scarborough,women,2071,1735
2017-01-20,Scarborough,men,1456,1887
2017-01-20,Scarborough,youth,1952,1382
2017-01-20,Scarborough,co-ed,2593,2266
2017-01-20,Scarborough,family,2547,383
2017-01-20,Etobicoke,women,1905,1445
2017-01-20,Etobicoke,men,2380,1989
2017-01-20,Etobicoke,youth,1765,1384
2017-01-20,Etobicoke,co-ed,2424,2682
2017-01-20,Etobicoke,family,1748,1958
2017-01-21,Toronto,women,1353,1809
2017-01-21,Toronto,men,1151,724
2017-01-21,Toronto,youth,1988,1754
2017-01-21,Toronto,co-ed,810,2428
2017-01-21,Toronto,family,1818,1451
2017-01-21,North York,women,1645,1381
2017-01-21,North York,men,1439,1326
2017-01-21,North York,youth,1149,1492
2017-01-21,North York,co-ed,1092,1395
2017-01-21,North York,family,1707,1160
2017-01-21,Scarborough,women,1711,1759
2017-01-21,Scarborough,men,1267,694
2017-01-21,Scarborough,youth,1893,2019
2017-01-21,Scarborough,co-ed,2183,1455
2017-01-21,Scarborough,family,2023,1359
2017-01-21,Etobicoke,women,19,1640
2017-01-21,Etobicoke,men,951,1342
2017-01-21,Etobicoke,youth,1245,1985
2017-01-21,Etobicoke,co-ed,1813,1907
2017-01-21,Etobicoke,family,1550,1702
2017-01-22,Toronto,women,1965,1924
2017-01-22,Toronto,men,1807,1865
2017-01-22,Toronto,youth,2877,1625
2017-01-22,Toronto,co-ed,1613,1534
2017-01-22,Toronto,family,2296,1933
2017-01-22,North York,women,2593,2713
2017-01-22,North York,men,1114,1567
2017-01-22,North York,youth,2295,1292
2017-01-22,North York,co-ed,1894,1808
2017-01-22,North York,family,945,1996
2017-01-22,Scarborough,women,1083,1911
2017-01-22,Scarborough,men,1619,2205
2017-01-22,Scarborough,youth,1139,1995
2017-01-22,Scarborough,co-ed,1746,1856
2017-01-22,Scarborough,family,1405,1850
2017-01-22,Etobicoke,women,2221,1854
2017-01-22,Etobicoke,men,2116,2342
2017-01-22,Etobicoke,youth,1788,2194
2017-01-22,Etobicoke,co-ed,1490,1854
2017-01-22,Etobicoke,family,1547,2458
2017-01-23,Toronto,women,740,1702
2017-01-23,Toronto,men,1442,2322
2017-01-23,Toronto,youth,2071,684
2017-01-23,Toronto,co-ed,1917,1737
2017-01-23,Toronto,family,1272,1706
2017-01-23,North York,women,957,1400
2017-01-23,North York,men,1714,1562
2017-01-23,North York,youth,1630,1396
2017-01-23,North York,co-ed,2200,2254
2017-01-23,North York,family,1378,2185
2017-01-23,Scarborough,women,2347,1770
2017-01-23,Scarborough,men,1281,1725
2017-01-23,Scarborough,youth,1229,1907
2017-01-23,Scarborough,co-ed,1382,2358
2017-01-23,Scarborough,family,1129,788
2017-01-23,Etobicoke,women,1870,2314
2017-01-23,Etobicoke,men,1391,1367
2017-01-23,Etobicoke,youth,1301,2390
2017-01-23,Etobicoke,co-ed,1022,2292
2017-01-23,Etobicoke,family,1897,1852
2017-01-24,Toronto,women,1722,1730
2017-01-24,Toronto,men,1500,1476
2017-01-24,Toronto,youth,2220,1731
2017-01-24,Toronto,co-ed,2732,1757
2017-01-24,Toronto,family,1921,1850
2017-01-24,North York,women,1834,2719
2017-01-24,North York,men,1448,1969
2017-01-24,North York,youth,1711,1901
2017-01-24,North York,co-ed,1862,1359
2017-01-24,North York,family,1139,1744
2017-01-24,Scarborough,women,1798,3693
2017-01-24,Scarborough,men,1690,2351
2017-01-24,Scarborough,youth,1457,2347
2017-01-24,Scarborough,co-ed,1454,1806
2017-01-24,Scarborough,family,1623,1420
2017-01-24,Etobicoke,women,2096,601
2017-01-24,Etobicoke,men,1761,1809
2017-01-24,Etobicoke,youth,1410,1801
2017-01-24,Etobicoke,co-ed,1418,1870
2017-01-24,Etobicoke,family,1721,1547
2017-01-25,Toronto,women,1515,1458
2017-01-25,Toronto,men,1640,1831
2017-01-25,Toronto,youth,1186,2051
2017-01-25,Toronto,co-ed,1164,1016
2017-01-25,Toronto,family,1496,1093
2017-01-25,North York,women,2492,1106
2017-01-25,North York,men,1112,2444
2017-01-25,North York,youth,1620,2069
2017-01-25,North York,co-ed,1212,1903
2017-01-25,North York,family,2591,1493
2017-01-25,Scarborough,women,2206,1732
2017-01-25,Scarborough,men,2204,1245
2017-01-25,Scarborough,youth,1197,2010
2017-01-25,Scarborough,co-ed,1609,2400
2017-01-25,Scarborough,family,2390,2098
2017-01-25,Etobicoke,women,1394,1330
2017-01-25,Etobicoke,men,1201,2121
2017-01-25,Etobicoke,youth,1829,2546
2017-01-25,Etobicoke,co-ed,1520,1867
2017-01-25,Etobicoke,family,912,1935
2017-01-26,Toronto,women,1439,1551
2017-01-26,Toronto,men,1782,2050
2017-01-26,Toronto,youth,879,2343
2017-01-26,Toronto,co-ed,1976,1975
2017-01-26,Toronto,family,2081,2350
2017-01-26,North York,women,1629,1474
2017-01-26,North York,men,1678,1708
2017-01-26,North York,youth,2919,2440
2017-01-26,North York,co-ed,1405,1279
2017-01-26,North York,family,1481,2133
2017-01-26,Scarborough,women,1093,2102
2017-01-26,Scarborough,men,1270,1524
2017-01-26,Scarborough,youth,530,2068
2017-01-26,Scarborough,co-ed,1369,2143
2017-01-26,Scarborough,family,2121,3210
2017-01-26,Etobicoke,women,1173,2035
2017-01-26,Etobicoke,men,2080,1376
2017-01-26,Etobicoke,youth,1761,1626
2017-01-26,Etobicoke,co-ed,1760,1754
2017-01-26,Etobicoke,family,1791,2187
2017-01-27,Toronto,women,1588,1791
2017-01-27,Toronto,men,1388,2279
2017-01-27,Toronto,youth,1564,2028
2017-01-27,Toronto,co-ed,1864,1842
2017-01-27,Toronto,family,1509,1769
2017-01-27,North York,women,1502,1356
2017-01-27,North York,men,1650,2392
2017-01-27,North York,youth,1723,1176
2017-01-27,North York,co-ed,1229,1773
2017-01-27,North York,family,0,2088
2017-01-27,Scarborough,women,1373,1723
2017-01-27,Scarborough,men,1123,2060
2017-01-27,Scarborough,youth,2219,2013
2017-01-27,Scarborough,co-ed,1509,1540
2017-01-27,Scarborough,family,1314,1678
2017-01-27,Etobicoke,women,1534,1762
2017-01-27,Etobicoke,men,1188,1842
2017-01-27,Etobicoke,youth,2283,1586
2017-01-27,Etobicoke,co-ed,1602,1883
2017-01-27,Etobicoke,family,1487,3006
2017-01-28,Toronto,women,2196,2045
2017-01-28,Toronto,men,2088,1859
2017-01-28,Toronto,youth,2559,1329
2017-01-28,Toronto,co-ed,1807,1874
2017-01-28,Toronto,family,1821,1984
2017-01-28,North York,women,1890,1704
2017-01-28,North York,men,1456,1912
2017-01-28,North York,youth,1751,2094
2017-01-28,North York,co-ed,1771,2046
2017-01-28,North York,family,1696,1932
2017-01-28,Scarborough,women,2142,1795
2017-01-28,Scarborough,men,2863,3261
2017-01-28,Scarborough,youth,2075,1653
2017-01-28,Scarborough,co-ed,2376,1623
2017-01-28,Scarborough,family,870,1831
2017-01-28,Etobicoke,women,1020,1683
2017-01-28,Etobicoke,men,550,877
2017-01-28,Etobicoke,youth,1802,1928
2017-01-28,Etobicoke,co-ed,690,1067
2017-01-28,Etobicoke,family,2076,1657
2017-01-29,Toronto,women,1359,1790
2017-01-29,Toronto,men,1841,2205
2017-01-29,Toronto,youth,1478,1817
2017-01-29,Toronto,co-ed,1725,1916
2017-01-29,Toronto,family,1709,2127
2017-01-29,North York,women,1325,2234
2017-01-29,North York,men,1718,1356
2017-01-29,North York,youth,1983,1112
2017-01-29,North York,co-ed,2376,1347
2017-01-29,North York,family,1562,2294
2017-01-29,Scarborough,women,1091,1988
2017-01-29,Scarborough,men,1444,2616
2017-01-29,Scarborough,youth,1153,1676
2017-01-29,Scarborough,co-ed,1113,1246
2017-01-29,Scarborough,family,1551,1981
2017-01-29,Etobicoke,women,575,2125
2017-01-29,Etobicoke,men,1587,1716
2017-01-29,Etobicoke,youth,882,1641
2017-01-29,Etobicoke,co-ed,1887,1516
2017-01-29,Etobicoke,family,2727,944
2017-01-30,Toronto,women,1406,2354
2017-01-30,Toronto,men,1766,2334
2017-01-30,Toronto,youth,1781,1290
2017-01-30,Toronto,co-ed,960,1448
2017-01-30,Toronto,family,2220,1851
2017-01-30,North York,women,661,2059
2017-01-30,North York,men,3183,1394
2017-01-30,North York,youth,1778,1512
2017-01-30,North York,co-ed,2525,1939
2017-01-30,North York,family,1147,1931
2017-01-30,Scarborough,women,749,2002
2017-01-30,Scarborough,men,1628,1310
2017-01-30,Scarborough,youth,1671,2169
2017-01-30,Scarborough,co-ed,1038,1032
2017-01-30,Scarborough,family,994,1057
2017-01-30,Etobicoke,women,2309,1436
2017-01-30,Etobicoke,men,1556,2329
2017-01-30,Etobicoke,youth,1094,1417
2017-01-30,Etobicoke,co-ed,1948,2711
2017-01-30,Etobicoke,family,1370,2121
2017-01-31,Toronto,women,1291,1330
2017-01-31,Toronto,men,969,1823
2017-01-31,Toronto,youth,1314,1996
2017-01-31,Toronto,co-ed,1764,1517
2017-01-31,Toronto,family,2230,1501
2017-01-31,North York,women,2189,2178
2017-01-31,North York,men,1348,1959
2017-01-31,North York,youth,1518,1044
2017-01-31,North York,co-ed,1718,1256
2017-01-31,North York,family,1675,1619
2017-01-31,Scarborough,women,2067,591
2017-01-31,Scarborough,men,1119,1700
2017-01-31,Scarborough,youth,1546,3159
2017-01-31,Scarborough,co-ed,2101,1713
2017-01-31,Scarborough,family,1128,852
2017-01-31,Etobicoke,women,1414,2082
2017-01-31,Etobicoke,men,2123,1425
2017-01-31,Etobicoke,youth,2143,2103
2017-01-31,Etobicoke,co-ed,548,2306
2017-01-31,Etobicoke,family,1250,1460
2017-02-01,Toronto,women,1631,765
2017-02-01,Toronto,men,1347,1803
2017-02-01,Toronto,youth,2103,625
2017-02-01,Toronto,co-ed,489,2430
2017-02-01,Toronto,family,707,1324
2017-02-01,North York,women,1650,1768
2017-02-01,North York,men,1061,1683
2017-02-01,North York,youth,1617,1076
2017-02-01,North York,co-ed,1666,1734
2017-02-01,North York,family,878,1519
2017-02-01,Scarborough,women,1815,1814
2017-02-01,Scarborough,men,733,1933
2017-02-01,Scarborough,youth,2234,1947
2017-02-01,Scarborough,co-ed,2171,1717
2017-02-01,Scarborough,family,2043,1328
2017-02-01,Etobicoke,women,1272,1743
2017-02-01,Etobicoke,men,1230,1388
2017-02-01,Etobicoke,youth,2117,1469
2017-02-01,Etobicoke,co-ed,796,1589
2017-02-01,Etobicoke,family,1179,1836
2017-02-02,Toronto,women,1845,1638
2017-02-02,Toronto,men,1491,1955
2017-02-02,Toronto,youth,2017,1874
2017-02-02,Toronto,co-ed,1558,1891
2017-02-02,Toronto,family,1285,1064
2017-02-02,North York,women,2025,2242
2017-02-02,North York,men,1990,2225
2017-02-02,North York,youth,1402,1271
2017-02-02,North York,co-ed,1271,2007
2017-02-02,North York,family,1439,1437
2017-02-02,Scarborough,women,910,1319
2017-02-02,Scarborough,men,1070,1819
2017-02-02,Scarborough,youth,979,1692
2017-02-02,Scarborough,co-ed,1373,2221
2017-02-02,Scarborough,family,2286,1767
2017-02-02,Etobicoke,women,1518,478
2017-02-02,Etobicoke,men,2431,2465
2017-02-02,Etobicoke,youth,844,1836
2017-02-02,Etobicoke,co-ed,1579,1432
2017-02-02,Etobicoke,family,1529,1574
2017-02-03,Toronto,women,959,1862
2017-02-03,Toronto,men,1766,1455
2017-02-03,Toronto,youth,1223,1502
2017-02-03,Toronto,co-ed,2476,1264
2017-02-03,Toronto,family,2400,708
2017-02-03,North York,women,2272,1912
2017-02-03,North York,men,1848,1936
2017-02-03,North York,youth,803,1227
2017-02-03,North York,co-ed,2007,2050
